ID,type,city,postcode,lat,lon,rentGross,livingSpace,numberOfRooms,yearBuilt,hasBalcony,hasElevator,hasParking
4001148031,"['APARTMENT', 'ATTIC_FLAT']",Birr,5242,47.437921781979,8.208792311603,1580.0,70.0,3.5,1970.0,True,True,False
4001147973,"['APARTMENT', 'ROOF_FLAT']",Tenniken,4456,47.426871781975,7.803312311601,2630.0,180.0,5.5,2002.0,True,False,False
4001147946,"['APARTMENT', 'FLAT']",Luzern,6003,47.048451781975,8.292002311608,2859.0,104.0,4.5,2014.0,True,True,False
4001147883,"['HOUSE', 'SINGLE_HOUSE']",Nyon,1260,46.380501781977,6.229872311609,6450.0,180.0,5.0,2014.0,True,False,True
4001147879,"['APARTMENT', 'FLAT']",Niederrohrdorf,5443,47.426131781971,8.300402311602,1800.0,78.0,2.5,2016.0,True,True,False
4001147870,"['APARTMENT', 'FLAT']",Bern,3006,46.942391781971,7.463522311601,2700.0,82.0,3.5,2014.0,True,False,False
4001147833,"['APARTMENT', 'FLAT']",Sévery,1141,46.575591781979,6.438322311602,2200.0,130.0,3.5,2014.0,True,False,True
4001147573,"['APARTMENT', 'FLAT']",St. Gallen,9000,47.433831781976,9.403282311607,1290.0,64.0,3.5,2014.0,True,False,False
4001147570,"['APARTMENT', 'FLAT']",Solothurn,4500,47.207611781972,7.532082311605,1680.0,120.0,4.0,2014.0,True,True,True
4001147523,"['HOUSE', 'BIFAMILIAR_HOUSE']",Kerzers,3210,46.975161781975,7.211722311603,2850.0,155.0,4.5,1996.0,True,False,True
4001147520,"['APARTMENT', 'FLAT']",Collex-Bossy,1239,46.272381781971,6.127502311602,1870.0,58.0,3.0,1987.0,True,False,True
4001147517,['HOBBY_ROOM'],Basel,4053,47.538631781975,7.601752311609,480.0,23.0,1.0,2009.0,False,True,False
4001147184,"['APARTMENT', 'FLAT']",Grenchen,2540,47.187471781971,7.380292311604,910.0,50.0,2.0,2014.0,True,False,False
4001146959,"['APARTMENT', 'BACHELOR_FLAT']",Wettingen,5430,47.465951781973,8.326592311602,930.0,17.0,1.5,1971.0,False,False,True
4001146940,"['HOUSE', 'VILLA']",Farvagny-le-Grand,1726,46.719241781979,7.071072311609,2850.0,150.0,5.5,2014.0,True,False,True
4001146879,"['APARTMENT', 'ROOF_FLAT']",Schwarzenburg,3150,46.818221781971,7.344512311609,1700.0,155.0,4.0,1988.0,True,True,False
4001146790,"['APARTMENT', 'FLAT']",Fribourg,1700,46.810561781972,7.157802311604,1350.0,48.0,2.0,2014.0,True,True,False
4001146784,"['APARTMENT', 'STUDIO']",Chavannes-près-Renens,1022,46.527861781978,6.571822311608,1365.0,30.0,1.0,2014.0,True,True,True
4001146763,"['APARTMENT', 'DUPLEX']",Dällikon,8108,47.438711781971,8.434272311608,2918.0,130.0,4.5,2016.0,True,True,False
4001146762,"['APARTMENT', 'ROOF_FLAT']",Einigen,3646,46.709701781974,7.640092311602,1460.0,60.0,3.0,1963.0,True,False,False
4001146745,"['APARTMENT', 'FLAT']",Langenthal,4900,47.211471781975,7.781832311605,1790.0,93.0,4.5,2014.0,True,False,True
4001146718,"['APARTMENT', 'FLAT']",Studen BE,2557,47.111871781973,7.299942311608,830.0,46.0,2.5,1960.0,True,False,False
4001146693,"['APARTMENT', 'ROOF_FLAT']",Schüpfheim,6170,46.952771781971,8.017552311602,1600.0,120.0,5.5,2014.0,True,False,True
4001146683,"['APARTMENT', 'FLAT']",Bern,3007,46.936321781974,7.436122311603,2950.0,110.0,4.5,2014.0,True,False,False
4001146601,"['APARTMENT', 'FLAT']",Burgdorf,3400,47.062361781975,7.624362311607,1345.0,80.0,3.5,2014.0,False,False,False
4001146497,"['APARTMENT', 'FLAT']",Frauenfeld,8500,47.555701781973,8.891742311605,2090.0,100.0,4.0,2014.0,True,False,True
4001146491,"['APARTMENT', 'FLAT']",Galmiz,3285,46.948991781974,7.157852311606,1750.0,77.0,3.5,1995.0,True,False,False
4001146158,"['APARTMENT', 'ROOF_FLAT']",Blumenstein,3638,46.741091781975,7.520452311607,2040.0,148.0,4.5,1993.0,True,False,False
4001144187,"['APARTMENT', 'FLAT']",Bischofszell,9220,47.494011781978,9.248402311601,1570.0,102.0,3.5,2014.0,True,False,False
4001145876,"['APARTMENT', 'FLAT']",Horgen,8810,47.255251781977,8.613992311601,2097.0,91.0,4.0,1982.0,True,False,True
4001145393,"['APARTMENT', 'FLAT']",Jaberg,3629,46.817881781972,7.569552311602,1750.0,80.0,3.5,1994.0,True,False,False
4001144971,"['APARTMENT', 'FLAT']",Neuchâtel,2034,46.988431781977,6.896612311605,1930.0,97.0,3.5,2014.0,False,True,False
4001144892,"['APARTMENT', 'FLAT']",Thun,3600,46.756671781974,7.626102311604,1550.0,70.0,3.5,2014.0,False,False,False
4001144504,"['APARTMENT', 'FLAT']",Wil,9500,47.465451781972,9.048212311606,1390.0,54.0,1.5,2014.0,False,True,False
4001144527,"['APARTMENT', 'FLAT']",Wil,9500,47.465451781972,9.048212311606,1390.0,47.0,1.5,2014.0,False,True,False
4001144561,"['APARTMENT', 'FLAT']",Wil,9500,47.465451781972,9.048212311606,1490.0,52.0,1.5,2014.0,True,True,False
